above_majority_sign_agrees,bf16_above_majority,bf16_accuracy,bf16_macro_f1,location,model_id,q8_above_majority,q8_accuracy,q8_macro_f1,q8_model_revision,split,status,task
True,0.1638297872340425,0.9744680851063829,0.9713657231764427,target_final_subtoken,qwen2.5-1.5b,0.1392136025504782,0.9787460148777896,0.971810430443524,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
True,0.2869287991498406,0.8501594048884166,0.8381096785190273,prompt_final,qwen2.5-1.5b,0.14665249734325192,0.7098831030818279,0.6956751491561025,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.23698193411264612,0.8002125398512221,0.7982765830775541,target_final_subtoken,qwen2.5-1.5b,0.19766206163655686,0.7608926673751328,0.7406912274110669,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.34787234042553183,0.95,0.9480747826557081,prompt_final,qwen2.5-1.5b,0.2221041445270988,0.8416578108395324,0.8359178705800434,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.1946808510638297,0.7968085106382978,0.7886210448859455,target_final_subtoken,qwen2.5-1.5b,0.20297555791710942,0.822529224229543,0.815473946866285,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.08510638297872342,0.948936170212766,0.9052519618981353,prompt_final,qwen2.5-1.5b,0.07438894792773643,0.9500531349628055,0.7591323710513503,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.10638297872340419,0.9702127659574468,0.8688046038080511,target_final_subtoken,qwen2.5-1.5b,0.08820403825717316,0.9638682252922423,0.8170126170126171,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.18703506907545164,0.8756641870350691,0.8364879226817624,prompt_final,qwen3-0.6b,0.1806588735387885,0.869287991498406,0.8311773510503268,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.17640807651434642,0.8650371944739639,0.8299160794559297,target_final_subtoken,qwen3-0.6b,0.17959617428267793,0.8682252922422954,0.8337424662075908,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.27553191489361695,0.9297872340425531,0.9217058137597868,prompt_final,qwen3-0.6b,0.2975557917109458,0.9298618490967057,0.9245810462913489,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.19042553191489364,0.8446808510638298,0.8273267605775569,target_final_subtoken,qwen3-0.6b,0.2529224229543039,0.8852284803400637,0.8780034572169404,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.14574468085106385,0.9563829787234043,0.8838342571589156,prompt_final,qwen3-0.6b,0.09670563230605744,0.9362380446333688,0.7812505771969406,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
True,0.1404255319148936,0.951063829787234,0.9141475545730865,target_final_subtoken,qwen3-0.6b,0.10626992561105209,0.9458023379383634,0.8459794274632575,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
True,0.20935175345377255,0.7725823591923485,0.7580145429611426,prompt_final,qwen3-0.6b,0.16153028692879912,0.7247608926673751,0.6694560028402924,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.27417640807651433,0.8374070138150903,0.8369283524924959,target_final_subtoken,qwen3-0.6b,0.2784272051009564,0.8416578108395324,0.8386038394415358,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.2159574468085106,0.8180851063829787,0.8172642846830092,prompt_final,qwen3-0.6b,0.18597236981934118,0.8055260361317748,0.8043158845688376,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.2531914893617021,0.8553191489361702,0.8499382568234426,target_final_subtoken,qwen3-0.6b,0.24017003188097763,0.8597236981934112,0.8540838478671515,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.10106382978723405,0.9648936170212766,0.8388986215073171,prompt_final,qwen3-0.6b,0.057385759829968075,0.9330499468650372,0.5687381146427601,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.06063829787234043,0.924468085106383,0.7505231816854357,target_final_subtoken,qwen3-0.6b,0.0828905419766206,0.9585547290116897,0.7690545254642828,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.20510095642933046,0.8937300743889479,0.8770082821492418,prompt_final,qwen3-8b,0.14240170031880972,0.8310308182784272,0.8209300661988487,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.19659936238044629,0.8852284803400637,0.869654451577016,target_final_subtoken,qwen3-8b,0.1849096705632306,0.873538788522848,0.8549108192090511,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.29255319148936165,0.9468085106382979,0.940223031684337,prompt_final,qwen3-8b,0.3251859723698193,0.9574920297555791,0.9542915432068781,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.2297872340425532,0.8840425531914894,0.8743560533134513,target_final_subtoken,qwen3-8b,0.283740701381509,0.9160467587672688,0.9104117331597944,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.16170212765957448,0.9723404255319149,0.967637902727137,prompt_final,qwen3-8b,0.150903294367694,0.9904357066950054,0.9527070165718786,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
True,0.17978723404255315,0.9904255319148936,0.9893820802710184,target_final_subtoken,qwen3-8b,0.14877789585547296,0.9883103081827843,0.9228211089973932,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
True,0.21041445270988313,0.7736450584484591,0.7724401097507552,prompt_final,qwen3-8b,0.2837407013815091,0.8469713071200851,0.8551845538761942,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.26142401700318807,0.824654622741764,0.8320601276607973,target_final_subtoken,qwen3-8b,0.3049946865037194,0.8682252922422954,0.8782848499431323,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.2223404255319149,0.824468085106383,0.8239082824415781,prompt_final,qwen3-8b,0.3283740701381509,0.9479277364505845,0.9455154754294397,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.3382978723404255,0.9404255319148936,0.9382611796055471,target_final_subtoken,qwen3-8b,0.29543039319872477,0.9149840595111584,0.9101155793294489,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.11914893617021272,0.9829787234042553,0.9748539548422307,prompt_final,qwen3-8b,0.09989373007438895,0.975557917109458,0.8958558558558559,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.12872340425531914,0.9925531914893617,0.966864369633006,target_final_subtoken,qwen3-8b,0.10626992561105209,0.9819341126461212,0.9078621194470853,Q8_0-artifact,root-heldout,metric_comparison_only,number
