model_id,feature_set,task,split,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,majority_accuracy_mean,above_majority_mean,selected_layer_mean,selected_layers
gemma-4-2b,metadata_free_prompt_final,number,random,5,0.9687184193234089,0.007165723818611181,0.8618412187732243,0.05844794011659422,0.8414556001178257,0.12726281920558316,15.6,"4,8,14,26,26"
gemma-4-2b,metadata_free_prompt_final,number,root-heldout,5,0.9323250175605556,0.009369453622683065,0.7569085019663162,0.05193338912782246,0.8414483493077742,0.09087666825278133,16.6,"14,14,14,18,23"
gemma-4-2b,metadata_free_prompt_final,pos,lemma-heldout,5,0.7530461030592172,0.042444554323467984,0.716946647485672,0.04579717925576106,0.6290024193366042,0.12404368372261292,9.4,"3,5,6,11,22"
gemma-4-2b,metadata_free_prompt_final,pos,random,5,0.9234196305424287,0.007650442044110912,0.9095504018377234,0.008852392401695343,0.6290150812851877,0.294404549257241,6.8,"2,4,4,10,14"
gemma-4-2b,metadata_free_prompt_final,pos,root-heldout,5,0.7515506364890225,0.03577292636297443,0.713725121509574,0.03159337292085481,0.6290290998711194,0.12252153661790308,7.0,"4,5,5,7,14"
gemma-4-2b,target_final_subtoken,gender,lemma-heldout,5,0.8223073437110552,0.025750346611126396,0.811608049908018,0.03043163717055434,0.6260711938911926,0.19623614981986268,11.8,"7,8,9,12,23"
gemma-4-2b,target_final_subtoken,gender,random,5,0.9523286429655814,0.004136640193978709,0.9493294163355646,0.004242653256798349,0.6260906804432058,0.3262379625223756,11.0,"8,8,13,13,13"
gemma-4-2b,target_final_subtoken,gender,root-heldout,5,0.808049532096164,0.02357480146240718,0.7978461476634665,0.02049670818060579,0.6260895475041353,0.18195998459202867,13.2,"7,13,14,14,18"
gemma-4-2b,target_final_subtoken,number,lemma-heldout,5,0.9399884440214805,0.015912104221792078,0.752358439766083,0.07045636915382059,0.8414610382253642,0.09852740579611627,15.4,"8,8,15,23,23"
gemma-4-2b,target_final_subtoken,number,random,5,0.9789327713955543,0.006499762323084705,0.8860214149401875,0.041513457293688924,0.8414556001178257,0.1374771712777287,12.6,"7,8,12,13,23"
gemma-4-2b,target_final_subtoken,number,root-heldout,5,0.9429676206013641,0.018698739153187253,0.7700981856414395,0.020181121746829404,0.8414483493077742,0.1015192712935898,14.6,"8,9,9,23,24"
gemma-4-2b,target_final_subtoken,pos,lemma-heldout,5,0.7791916702466819,0.029004549597694454,0.7516966597533609,0.027159532260299574,0.6290024193366043,0.15018925091007757,8.8,"7,8,8,8,13"
gemma-4-2b,target_final_subtoken,pos,random,5,0.9363979017342349,0.008016707068211502,0.9252030321797455,0.010470004275381908,0.6290150812851877,0.30738282044904697,8.0,"8,8,8,8,8"
gemma-4-2b,target_final_subtoken,pos,root-heldout,5,0.7664306871368168,0.033604552532945406,0.7190996675274967,0.03524339103584481,0.6290290998711195,0.1374015872656974,9.8,"8,8,9,10,14"
gemma-4-2b,target_mean_span,gender,lemma-heldout,5,0.7961088074683345,0.047287436498056605,0.7851793357914474,0.04278060721692549,0.6260711938911925,0.1700376135771418,17.0,"8,12,13,23,29"
gemma-4-2b,target_mean_span,gender,random,5,0.947859878095756,0.00765226631309396,0.9445948560196549,0.008201605764926971,0.6260906804432058,0.32176919765255024,13.8,"3,8,13,22,23"
gemma-4-2b,target_mean_span,gender,root-heldout,5,0.7988949312305984,0.021600285283714715,0.7865643363997067,0.03128723292153229,0.6260895475041353,0.1728053837264632,14.8,"7,13,13,18,23"
gemma-4-2b,target_mean_span,number,lemma-heldout,5,0.9069974848752633,0.021431067474605787,0.7209004479072215,0.10637592130924899,0.8414610382253643,0.06553644664989915,15.2,"12,13,13,15,23"
gemma-4-2b,target_mean_span,number,random,5,0.975953821403485,0.004281179721353013,0.8784276041777327,0.03917078655754052,0.8414556001178257,0.1344982212856593,15.0,"13,13,13,13,23"
gemma-4-2b,target_mean_span,number,root-heldout,5,0.8980644868918951,0.021791000557749983,0.7062579426363624,0.06379322074235137,0.8414483493077742,0.05661613758412069,20.6,"12,22,23,23,23"
gemma-4-2b,target_mean_span,pos,lemma-heldout,5,0.7594105410721959,0.042005854509095567,0.7239648505513581,0.047359491394145956,0.6290024193366043,0.1304081217355914,11.8,"4,8,12,12,23"
gemma-4-2b,target_mean_span,pos,random,5,0.9234243787731475,0.01209955149200666,0.9083302119713711,0.013979508318769492,0.6290150812851877,0.29440929748795985,9.0,"7,8,8,9,13"
gemma-4-2b,target_mean_span,pos,root-heldout,5,0.7555904764058154,0.03325820709130588,0.7104995599158619,0.01962563614326921,0.6290290998711195,0.12656137653469599,14.0,"8,12,12,15,23"
jais-13b,full_prompt_final,gender,lemma-heldout,5,0.9376437133210975,0.012613487775828502,0.9328131903618715,0.013855447895061336,0.6260711938911926,0.31157251942990505,15.2,"13,13,15,16,19"
jais-13b,full_prompt_final,gender,random,5,0.972547300206195,0.003323908513189134,0.9706881591040851,0.0034624543957447952,0.6260906804432058,0.34645661976298914,11.6,"11,11,11,12,13"
jais-13b,full_prompt_final,gender,root-heldout,5,0.925293544513176,0.027549341540701367,0.9190094944847139,0.029771689496710087,0.6260895475041353,0.2992039970090408,15.6,"13,13,14,16,22"
