model_id,feature_set,task,split,fold,real_accuracy,shuffled_accuracy,shuffled_macro_f1,shuffled_majority_accuracy,shuffled_selected_layer
llama-3.2-1b,target_final_subtoken,gender,random,0,0.8925531914893617,0.5361702127659574,0.499636178951121,0.625531914893617,0
llama-3.2-1b,target_final_subtoken,gender,random,1,0.9202127659574468,0.5680851063829787,0.5304880149204522,0.625531914893617,4
llama-3.2-1b,target_final_subtoken,gender,random,2,0.8914893617021277,0.5191489361702127,0.4850164114050781,0.6265957446808511,1
llama-3.2-1b,target_final_subtoken,gender,random,3,0.9042553191489362,0.5382978723404256,0.510501257463188,0.6265957446808511,3
llama-3.2-1b,target_final_subtoken,gender,random,4,0.9137380191693291,0.5633652822151225,0.5320249139389697,0.6261980830670927,0
llama-3.2-1b,target_final_subtoken,gender,root-heldout,0,0.7159574468085106,0.5042553191489362,0.4936562540457563,0.6021276595744681,2
llama-3.2-1b,target_final_subtoken,gender,root-heldout,1,0.6563829787234042,0.5329787234042553,0.5101324681768917,0.6468085106382979,8
llama-3.2-1b,target_final_subtoken,gender,root-heldout,2,0.701063829787234,0.4925531914893617,0.49026353095786757,0.5468085106382978,12
llama-3.2-1b,target_final_subtoken,gender,root-heldout,3,0.7287234042553191,0.5563829787234043,0.4755692437777531,0.7138297872340426,9
llama-3.2-1b,target_final_subtoken,gender,root-heldout,4,0.6474973375931843,0.5111821086261981,0.49872938078684187,0.6208732694355698,12
llama-3.2-1b,target_final_subtoken,number,lemma-heldout,0,0.851063829787234,0.6223404255319149,0.324132016872943,0.8106382978723404,10
llama-3.2-1b,target_final_subtoken,number,lemma-heldout,1,0.8095744680851064,0.575531914893617,0.3122141857441772,0.8436170212765958,10
llama-3.2-1b,target_final_subtoken,number,lemma-heldout,2,0.8287234042553191,0.5904255319148937,0.3079658011752365,0.8287234042553191,9
llama-3.2-1b,target_final_subtoken,number,lemma-heldout,3,0.8361702127659575,0.575531914893617,0.3224964315228007,0.8574468085106383,5
llama-3.2-1b,target_final_subtoken,number,lemma-heldout,4,0.8040468583599574,0.5548455804046858,0.2957710919419314,0.8668796592119276,5
llama-3.2-1b,target_final_subtoken,number,random,0,0.9531914893617022,0.7414893617021276,0.3301186627032253,0.8414893617021276,11
llama-3.2-1b,target_final_subtoken,number,random,1,0.9436170212765957,0.7244680851063829,0.3272866420309186,0.8414893617021276,9
