model_id,feature_set,task,split,fold,label_mode,layer,dev_accuracy,dev_macro_f1
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,9,0.9361702127659575,0.932817153067302
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,10,0.9441489361702128,0.9409123563218391
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,11,0.9534574468085106,0.9509817615650078
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,12,0.9561170212765957,0.954063414552879
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,13,0.9561170212765957,0.954169967810386
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,14,0.949468085106383,0.946813579511614
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,15,0.949468085106383,0.9471956952369689
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,16,0.961436170212766,0.9596314855161665
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,17,0.9348404255319149,0.9320266742914065
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,18,0.9654255319148937,0.9637429069465564
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,19,0.9521276595744681,0.9501440136720909
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,20,0.9654255319148937,0.9639120836932527
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,21,0.9574468085106383,0.9556835677085251
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,22,0.9507978723404256,0.9486148123934631
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,23,0.9601063829787234,0.9584533447267424
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,24,0.9521276595744681,0.9500884955752212
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,25,0.9547872340425532,0.9525868783147275
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,26,0.9414893617021277,0.938715030820294
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,27,0.9388297872340425,0.936004736004736
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,28,0.9162234042553191,0.9134335503463498
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,29,0.8617021276595744,0.8588985833567877
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,30,0.8457446808510638,0.8415749518724347
allam-7b,full_prompt_final,gender,lemma-heldout,3,real,31,0.8723404255319149,0.8698511595707857
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,0,0.8816489361702128,0.8715351556576703
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,1,0.9428191489361702,0.9357779397540829
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,2,0.9268617021276596,0.9184900960342751
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,3,0.9507978723404256,0.9448478181151448
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,4,0.9747340425531915,0.9718420331754769
